engine,query,tags,platform,python,cpu_count,memory_total_mb,count,mean_ms,stdev_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,errors,expect_failures,dataset,variant,run_dir
neo4j_local,hybrid_search,"hybrid,vector,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,4.293,2.712,2.011,12.432,3.678,11.664,12.390,0,0,medical,index,graphrag_eval_v1_medical_index_20260216_044355
neo4j_local,local_search_2hop,"local,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,3.278,0.586,1.794,4.734,3.333,4.144,4.586,0,0,medical,index,graphrag_eval_v1_medical_index_20260216_044355
neo4j_local,global_search,"global,aggregation",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,3.074,0.650,1.481,4.526,3.012,4.301,4.516,0,0,medical,index,graphrag_eval_v1_medical_index_20260216_044355
neo4j_local,deep_traversal_5hop,"deep,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,30.122,6.751,26.915,54.777,27.839,43.917,54.578,0,0,medical,index,graphrag_eval_v1_medical_index_20260216_044355
kuzu_local,hybrid_search,"hybrid,vector,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,2.122,0.858,1.510,4.540,1.783,4.027,4.404,0,0,medical,index,graphrag_eval_v1_medical_index_20260216_044355
kuzu_local,local_search_2hop,"local,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,6.045,0.708,4.239,6.788,6.340,6.757,6.785,0,0,medical,index,graphrag_eval_v1_medical_index_20260216_044355
kuzu_local,global_search,"global,aggregation",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,2.652,0.991,1.242,4.286,3.177,3.848,4.235,0,0,medical,index,graphrag_eval_v1_medical_index_20260216_044355
kuzu_local,deep_traversal_5hop,"deep,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,36.700,2.447,31.579,42.687,36.417,40.348,42.142,0,0,medical,index,graphrag_eval_v1_medical_index_20260216_044355
lance_graph_local,hybrid_search,"hybrid,vector,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,2.647,0.063,2.537,2.832,2.645,2.742,2.807,0,0,medical,index,graphrag_eval_v1_medical_index_20260216_044355
lance_graph_local,local_search_2hop,"local,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,4.521,1.061,3.755,7.642,3.992,6.436,7.313,0,0,medical,index,graphrag_eval_v1_medical_index_20260216_044355
lance_graph_local,global_search,"global,aggregation",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,1.703,0.334,1.336,2.518,1.595,2.314,2.483,0,0,medical,index,graphrag_eval_v1_medical_index_20260216_044355
lance_graph_local,deep_traversal_5hop,"deep,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,27.402,1.503,24.248,29.524,27.863,29.151,29.486,0,0,medical,index,graphrag_eval_v1_medical_index_20260216_044355
neo4j_local,hybrid_search,"hybrid,vector,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,4.303,1.945,2.182,10.107,3.782,9.142,9.969,0,0,medical,no,graphrag_eval_v1_medical_no_index_20260216_044403
neo4j_local,local_search_2hop,"local,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,2.696,0.793,1.625,5.625,2.629,4.018,5.303,0,0,medical,no,graphrag_eval_v1_medical_no_index_20260216_044403
neo4j_local,global_search,"global,aggregation",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,3.235,0.589,2.000,4.381,3.172,4.150,4.323,0,0,medical,no,graphrag_eval_v1_medical_no_index_20260216_044403
neo4j_local,deep_traversal_5hop,"deep,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,27.799,0.990,27.079,30.492,27.369,30.129,30.487,0,0,medical,no,graphrag_eval_v1_medical_no_index_20260216_044403
kuzu_local,hybrid_search,"hybrid,vector,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,2.075,0.677,1.543,4.103,1.841,3.826,4.026,0,0,medical,no,graphrag_eval_v1_medical_no_index_20260216_044403
kuzu_local,local_search_2hop,"local,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,6.009,1.204,2.520,7.168,6.596,6.980,7.140,0,0,medical,no,graphrag_eval_v1_medical_no_index_20260216_044403
kuzu_local,global_search,"global,aggregation",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,2.751,1.003,1.277,3.677,3.474,3.617,3.660,0,0,medical,no,graphrag_eval_v1_medical_no_index_20260216_044403
kuzu_local,deep_traversal_5hop,"deep,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,37.525,2.368,33.183,43.327,37.151,41.736,42.924,0,0,medical,no,graphrag_eval_v1_medical_no_index_20260216_044403
lance_graph_local,hybrid_search,"hybrid,vector,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,1.083,0.015,1.065,1.121,1.079,1.116,1.121,0,0,medical,no,graphrag_eval_v1_medical_no_index_20260216_044403
lance_graph_local,local_search_2hop,"local,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,3.995,0.136,3.781,4.267,3.967,4.231,4.265,0,0,medical,no,graphrag_eval_v1_medical_no_index_20260216_044403
lance_graph_local,global_search,"global,aggregation",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,1.311,0.058,1.208,1.550,1.299,1.359,1.495,0,0,medical,no,graphrag_eval_v1_medical_no_index_20260216_044403
lance_graph_local,deep_traversal_5hop,"deep,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,27.587,2.603,24.459,39.185,27.846,28.775,36.167,0,0,medical,no,graphrag_eval_v1_medical_no_index_20260216_044403
neo4j_local,hybrid_search,"hybrid,vector,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,4.382,2.664,2.291,12.939,3.552,11.481,12.706,0,0,novel,index,graphrag_eval_v1_novel_index_20260216_044414
neo4j_local,local_search_2hop,"local,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,3.845,0.922,3.016,6.891,3.620,5.964,6.873,0,0,novel,index,graphrag_eval_v1_novel_index_20260216_044414
neo4j_local,global_search,"global,aggregation",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,3.024,0.604,2.026,4.573,2.930,3.915,4.388,0,0,novel,index,graphrag_eval_v1_novel_index_20260216_044414
neo4j_local,deep_traversal_5hop,"deep,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,72.985,6.372,68.515,90.445,71.387,88.381,89.913,0,0,novel,index,graphrag_eval_v1_novel_index_20260216_044414
kuzu_local,hybrid_search,"hybrid,vector,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,1.854,0.396,1.542,3.832,1.806,2.090,3.361,0,0,novel,index,graphrag_eval_v1_novel_index_20260216_044414
kuzu_local,local_search_2hop,"local,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,5.717,0.789,4.439,6.756,5.656,6.698,6.744,0,0,novel,index,graphrag_eval_v1_novel_index_20260216_044414
